datetime,register_no,emp_no,trans_no,upc,description,trans_type,trans_subtype,trans_status,department,quantity,Scale,cost,unitPrice,total,regPrice,altPrice,tax,taxexempt,foodstamp,wicable,discount,memDiscount,discountable,discounttype,voided,percentDiscount,ItemQtty,volDiscType,volume,VolSpecial,mixMatch,matched,memType,staff,numflag,itemstatus,tenderstatus,charflag,varflag,batchHeaderID,local,organic,display,receipt,card_no,store,branch,match_id,trans_id
2013-07-01T07:22:29Z,16,54,2,0020901900000,Offsite: Mixed Berry Scone,I,,,8,2,0,0.55,1.63,3.26,1.63,0,0,0,1,0,0,0,1,0,0,,2,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,12
2013-07-01T07:22:35Z,16,54,2,0020902000000,Offsite: Savory Scone,I,,,8,3,0,0,1.63,4.89,1.63,0,0,0,1,0,0,0,1,0,0,,3,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,13
2013-07-01T07:22:47Z,16,54,2,0020902600000,Offsite: Gluten-Free Scone,I,,,8,2,0,0,1.88,3.76,1.88,0,0,0,1,0,0,0,1,0,0,,2,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,14
2013-07-01T07:22:52Z,16,54,2,0020900700000,Offsite: English Scone,I,,,8,2,0,0.56,1.63,3.26,1.63,0,0,0,1,0,0,0,1,0,0,,2,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,15
2013-07-01T07:22:57Z,16,54,2,0020903500000,Offsite: GF Double Choc.Cookie,I,,,8,2,0,0.41,1.29,2.58,1.29,0,0,0,1,0,0,0,1,0,0,,2,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,16
2013-07-01T07:23:01Z,16,54,2,0020900100000,Offsite: Delivery,I,,,8,300,0,0,0.01,3,0.01,0,0,0,0,0,0,0,0,0,0,,300,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50021,1024,0,0,17
2013-07-01T07:23:05Z,16,54,2,0,Corporate Charge,T,CX,,0,0,0,0,0,-49.87,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50021,1024,0,0,20
2013-07-01T07:23:05Z,16,54,2,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50021,1024,0,0,21
2013-07-01T07:23:05Z,16,54,2,DISCOUNT,Discount,I,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50021,1024,0,0,22
2013-07-01T07:23:05Z,16,54,2,TAX,Tax,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50021,1024,0,0,23
2013-07-01T07:23:52Z,16,54,3,0000000009509,Offsite: Baguette,I,,,17,1,0,0,1.75,1.75,1.75,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,4
2013-07-01T07:25:57Z,16,54,3,0020901900000,Offsite: Mixed Berry Scone,I,,,8,6,0,0.55,1.63,9.78,1.63,0,0,0,1,0,0,0,1,0,0,,6,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,5
2013-07-01T07:26:02Z,16,54,3,0020901500000,Offsite: Blueberry Muffin,I,,,8,3,0,0.52,1.63,4.89,1.63,0,0,0,1,0,0,0,1,0,0,,3,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,6
2013-07-01T07:26:09Z,16,54,3,0020902600000,Offsite: Gluten-Free Scone,I,,,8,6,0,0,1.88,11.28,1.88,0,0,0,1,0,0,0,1,0,0,,6,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,7
2013-07-01T07:26:15Z,16,54,3,0020902600000,Offsite: Gluten-Free Scone,I,,,8,3,0,0,1.88,5.64,1.88,0,0,0,1,0,0,0,1,0,0,,3,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,8
2013-07-01T07:26:20Z,16,54,3,0020900700000,Offsite: English Scone,I,,,8,6,0,0.56,1.63,9.78,1.63,0,0,0,1,0,0,0,1,0,0,,6,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,9
2013-07-01T07:26:34Z,16,54,3,0020900600000,Offsite: Mini Pepparkakor,I,,,8,80,0,0.02,0.25,20,0.25,0,0,0,1,0,0,0,1,0,0,,80,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,10
2013-07-01T07:26:48Z,16,54,3,0020903100000,Offsite: Molasses Cookie,I,,,8,4,0,0.23,1.13,4.52,1.13,0,0,0,1,0,0,0,1,0,0,,4,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,11
2013-07-01T07:26:52Z,16,54,3,0020900100000,Offsite: Delivery,I,,,8,750,0,0,0.01,7.5,0.01,0,0,0,0,0,0,0,0,0,0,,750,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,12
