year	month	dept_no	departmentName	numOwners	ownerSales	totalQty	transactions	Items
2013	03	14	JUICE BAR	431.0	5401.200000000001	1602.0	891.0	1196.0
2013	03	16	FISH&SEAFOOD	497.0	8252.75	680.2583200000001	806.0	980.0
2013	03	17	BAKEHOUSE	965.0	8276.77	3349.0	1876.0	2525.0
2013	03	18	FLOWERS	235.0	3239.5700000000006	193632.0	299.0	533.0
2013	04	1	PACKAGED GROCERY	2192.0	102084.20000000003	33334.530000000006	7378.0	30167.0
2013	04	2	PRODUCE	2076.0	106382.34999999993	187110.007629	6957.0	35805.0
2013	04	3	BULK	1641.0	42628.28999999999	17552.709189999998	3873.0	8359.0
2013	04	4	REF GROCERY	1945.0	51304.080000000016	18200.0	5794.0	16840.0
2013	04	5	CHEESE	1067.0	14290.570000000002	1842.875126	2312.0	4113.0
2013	04	6	FROZEN	1147.0	21376.790000000005	5378.0	2333.0	5211.0
2013	04	7	BREAD	643.0	5186.83	1682.0	1128.0	1481.0
2013	04	8	DELI	1442.0	40924.36000000001	868277.3174409997	3967.0	7815.0
2013	04	9	GEN MERCH	643.0	6389.869999999999	73734.38023000001	904.0	1195.0
2013	04	10	SUPPLEMENTS	706.0	27502.390000000003	31750.0	1135.0	1822.0
2013	04	11	PERSONAL CARE	950.0	19296.030000000006	4415.220000000001	1439.0	2401.0
2013	04	12	HERBS&SPICES	586.0	3208.94	1286.606000000001	848.0	1381.0
2013	04	13	MEAT	1207.0	37481.09	6779.961171000001	2884.0	5820.0
2013	04	14	JUICE BAR	447.0	5666.060000000001	1499.0	948.0	1280.0
2013	04	16	FISH&SEAFOOD	480.0	8550.990000000002	733.4945779999999	776.0	967.0
2013	04	17	BAKEHOUSE	945.0	7989.16	3164.0	1873.0	2441.0
2013	04	18	FLOWERS	215.0	2647.0499999999997	140067.0	278.0	519.0
2013	08	1	PACKAGED GROCERY	2092.0	95171.79000000005	31406.0	7202.0	28738.0
2013	08	2	PRODUCE	2020.0	97571.83999999995	181113.694883	6872.0	31735.0
2013	08	3	BULK	1515.0	39083.40999999999	17789.143637	3507.0	7262.0
2013	08	4	REF GROCERY	1854.0	47705.71000000007	15747.0	5524.0	14556.0
2013	08	5	CHEESE	1095.0	14808.070000000002	1913.3782449999997	2438.0	4400.0
2013	08	6	FROZEN	1087.0	18218.240000000005	4473.0	2153.0	4312.0
2013	08	7	BREAD	631.0	4869.1900000000005	1695.0	1106.0	1529.0
2013	08	8	DELI	1410.0	31709.050000000014	16069.812429999993	3945.0	7604.0
2013	08	9	GEN MERCH	629.0	6299.669999999999	69478.125225	889.0	1168.0
2013	08	10	SUPPLEMENTS	629.0	25297.110000000008	16545.0	995.0	1619.0
2013	08	11	PERSONAL CARE	922.0	18444.460000000006	7915.5	1445.0	2669.0
2013	08	12	HERBS&SPICES	521.0	2477.5299999999993	2022.155	748.0	1297.0
2013	08	13	MEAT	1162.0	38119.220000000016	6633.76558	2709.0	5497.0
2013	08	14	JUICE BAR	485.0	6450.640000000001	1775.0	1087.0	1455.0
2013	08	16	FISH&SEAFOOD	454.0	7885.4400000000005	628.8608569999999	705.0	870.0
2013	08	17	BAKEHOUSE	896.0	7331.709999999999	2879.0	1812.0	2418.0
2013	08	18	FLOWERS	111.0	978.9400000000002	58387.0	121.0	150.0
2013	11	1	PACKAGED GROCERY	2167.0	105264.10999999997	33710.55	7188.0	31390.0
2013	11	2	PRODUCE	1983.0	107764.63999999993	135044.755902	6547.0	31964.0
2013	11	3	BULK	1601.0	43208.39	11699.924298	3885.0	8285.0
2013	11	4	REF GROCERY	1910.0	51736.260000000075	16772.0	5564.0	15673.0
2013	11	5	CHEESE	1105.0	14138.32	1872.1037159999992	2357.0	4185.0
2013	11	6	FROZEN	1176.0	21635.58	5350.0	2328.0	5229.0
2013	11	7	BREAD	551.0	4381.76	1428.0	920.0	1275.0
2013	11	8	DELI	1415.0	31266.47	33135.807663	3667.0	6846.0
2013	11	9	GEN MERCH	672.0	8184.21	153136.575539	963.0	1373.0
2013	11	10	SUPPLEMENTS	681.0	23958.94000000001	7605.0	1038.0	1604.0
2013	11	11	PERSONAL CARE	916.0	20103.590000000007	8191.740000000001	1473.0	2610.0
2013	11	12	HERBS&SPICES	744.0	3839.5299999999997	6439.6078	1093.0	2004.0
2013	11	13	MEAT	1237.0	46118.700000000004	10395.168106999998	2893.0	5744.0
2013	11	14	JUICE BAR	400.0	4587.62	1260.0	867.0	1182.0
2013	11	16	FISH&SEAFOOD	429.0	6834.010000000002	530.5998599999999	629.0	773.0
2013	11	17	BAKEHOUSE	985.0	7940.789999999997	2866.0	1910.0	2549.0
2013	11	18	FLOWERS	119.0	1643.120000000001	139698.0	135.0	167.0
2013	09	1	PACKAGED GROCERY	2116.0	101481.21999999996	33526.200000000004	7309.0	30973.0
2013	09	2	PRODUCE	1972.0	96270.53999999995	157986.08697100004	6713.0	30676.0
2013	09	3	BULK	1526.0	39241.88999999999	14261.216610999996	3669.0	7692.0
2013	09	4	REF GROCERY	1851.0	49094.160000000054	16369.0	5555.0	15204.0
2013	09	5	CHEESE	1094.0	15223.029999999997	1940.6278499999999	2401.0	4402.0
2013	09	6	FROZEN	1121.0	21041.730000000014	5268.0	2334.0	5080.0
2013	09	7	BREAD	622.0	4827.700000000001	1596.0	1065.0	1466.0
2013	09	8	DELI	1363.0	31324.91000000001	30101.517164000008	3838.0	7445.0
2013	09	9	GEN MERCH	644.0	7598.77	111925.462168	934.0	1259.0
2013	09	10	SUPPLEMENTS	698.0	29054.57000000001	37409.0	1101.0	1831.0
2013	09	11	PERSONAL CARE	907.0	18524.940000000013	6007.474999999999	1444.0	2529.0
2013	09	12	HERBS&SPICES	598.0	2972.7900000000004	4205.33	850.0	1448.0
2013	09	13	MEAT	1215.0	39308.819999999985	6958.377166000002	2927.0	5789.0
2013	09	14	JUICE BAR	470.0	5267.799999999999	1406.0	1021.0	1339.0
2013	09	16	FISH&SEAFOOD	452.0	7613.34	604.0289429999999	708.0	888.0
